project_id,state,district,project_type,land_type,land_area_hectares,affected_families,notification_date,approval_expected_days,approval_actual_days,approval_date,compensation_status,compensation_delay_days,legal_disputes_count,documentation_completeness_pct,rehab_status,rehab_progress_pct,stakeholder_responsiveness_score,delayed
WB-AUD-0014,West Bengal,Howrah,INDUSTRIAL,Urban,4.23,13,2024-05-14,229,161,2024-10-22,Disputed,58,2,93,In Progress,76,5.9,0
WB-AUD-0015,West Bengal,Hooghly,INFRASTRUCTURE,Wetland,5.31,40,2022-01-31,230,430,2023-04-06,Not Started,103,5,60,Not Started,6,3.5,1
WB-AUD-0016,West Bengal,North 24 Parganas,INDUSTRIAL,Agricultural,208.69,581,2023-09-01,120,115,2023-12-25,In Progress,49,1,99,In Progress,74,7.2,0
WB-AUD-0017,West Bengal,Kolkata,RAILWAY,Urban,9.65,56,2023-06-25,297,277,2024-03-28,Not Started,101,1,72,In Progress,76,5.7,0
WB-AUD-0018,West Bengal,North 24 Parganas,INFRASTRUCTURE,Urban,29.07,88,2025-09-23,280,315,2026-08-04,Not Started,115,4,54,Not Started,0,4.3,1
WB-AUD-0019,West Bengal,North 24 Parganas,RAILWAY,Mixed,10.77,42,2023-09-15,245,514,2025-02-10,Not Started,97,4,71,In Progress,69,6.9,1
WB-AUD-0020,West Bengal,South 24 Parganas,INFRASTRUCTURE,Mixed,23.06,70,2024-05-05,271,269,2025-01-29,Not Started,57,1,73,In Progress,76,9.1,0
WB-AUD-0021,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,3.31,38,2024-09-30,100,329,2025-08-25,Not Started,87,3,76,Not Started,13,5.3,1
WB-AUD-0022,West Bengal,Kolkata,RAILWAY,Agricultural,19.56,67,2025-05-26,160,119,2025-09-22,Not Started,55,2,75,In Progress,84,5.2,0
WB-AUD-0023,West Bengal,North 24 Parganas,INDUSTRIAL_PARK,Agricultural,2.87,17,2023-10-02,227,180,2024-03-30,Completed,0,2,85,Completed,100,5.1,0
WB-AUD-0024,West Bengal,Kolkata,HIGHWAY,Agricultural,1.75,39,2022-01-21,153,386,2023-02-11,Not Started,80,1,80,In Progress,76,1.7,1
WB-AUD-0025,West Bengal,Hooghly,INDUSTRIAL_PARK,Agricultural,17.71,71,2023-02-14,185,113,2023-06-07,Not Started,103,3,75,Not Started,29,4.9,0
WB-AUD-0026,West Bengal,Kolkata,INDUSTRIAL,Wetland,9.28,35,2024-01-30,98,160,2024-07-08,Not Started,79,3,59,Not Started,34,3.6,1
WB-AUD-0027,West Bengal,Hooghly,INFRASTRUCTURE,Urban,2.23,23,2022-06-05,252,287,2023-03-19,Not Started,83,4,54,In Progress,84,7.2,1
WB-AUD-0028,West Bengal,Hooghly,RAILWAY,Agricultural,11.04,38,2026-07-13,118,108,2026-10-29,Not Started,66,2,74,Not Started,28,5.5,0
WB-AUD-0029,West Bengal,Kolkata,HIGHWAY,Mixed,26.36,98,2025-04-08,205,406,2026-05-19,Not Started,153,3,74,Completed,90,5.2,1
WB-AUD-0030,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,3.01,27,2023-10-15,194,148,2024-03-11,In Progress,30,0,81,In Progress,83,8.2,0
WB-AUD-0031,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,5.02,20,2024-10-18,231,282,2025-07-27,Not Started,161,6,30,In Progress,51,4.3,1
WB-AUD-0032,West Bengal,North 24 Parganas,POWER,Wetland,2.42,9,2025-12-04,172,261,2026-08-22,Disputed,79,3,95,Not Started,29,3.5,1
WB-AUD-0033,West Bengal,South 24 Parganas,INFRASTRUCTURE,Urban,1.06,34,2025-07-20,219,384,2026-08-08,Not Started,141,3,55,In Progress,53,5.7,1
WB-AUD-0034,West Bengal,Hooghly,HIGHWAY,Mixed,4.09,8,2026-08-24,283,224,2027-04-05,In Progress,31,1,72,In Progress,58,7.2,0
WB-AUD-0035,West Bengal,North 24 Parganas,INFRASTRUCTURE,Urban,9.99,54,2026-07-28,259,375,2027-08-07,Not Started,80,6,91,In Progress,69,7.7,1
WB-AUD-0036,West Bengal,Hooghly,HIGHWAY,Agricultural,1.11,27,2025-01-09,107,375,2026-01-19,Disputed,126,3,61,In Progress,54,2.1,1
WB-AUD-0037,West Bengal,Howrah,POWER,Agricultural,16.79,37,2024-11-23,139,59,2025-01-21,In Progress,54,2,72,Completed,90,4.5,0
WB-AUD-0038,West Bengal,Hooghly,HIGHWAY,Agricultural,4.64,40,2022-07-14,147,85,2022-10-07,Completed,0,1,68,Completed,86,6.8,0
WB-AUD-0039,West Bengal,North 24 Parganas,HIGHWAY,Urban,14.99,61,2026-04-06,136,100,2026-07-15,In Progress,45,1,69,In Progress,52,6.9,0
WB-AUD-0040,West Bengal,North 24 Parganas,HIGHWAY,Wetland,7.24,36,2023-08-13,279,529,2025-01-23,Not Started,202,6,44,Completed,88,1.7,1
WB-AUD-0041,West Bengal,Howrah,INDUSTRIAL,Mixed,15.16,57,2024-08-13,157,369,2025-08-17,Disputed,93,3,64,Delayed,0,1.1,1
WB-AUD-0042,West Bengal,South 24 Parganas,HIGHWAY,Urban,2.26,12,2026-03-07,237,397,2027-04-08,Not Started,85,2,57,In Progress,63,5.5,1
WB-AUD-0043,West Bengal,South 24 Parganas,HIGHWAY,Mixed,4.94,25,2023-07-03,216,181,2023-12-31,In Progress,33,2,48,In Progress,43,6.9,0
WB-AUD-0044,West Bengal,Kolkata,RAILWAY,Urban,10.17,39,2022-06-01,210,143,2022-10-22,Not Started,98,1,55,In Progress,65,7.5,0
WB-AUD-0045,West Bengal,North 24 Parganas,POWER,Mixed,77.95,265,2025-09-20,113,68,2025-11-27,Completed,0,2,91,In Progress,77,6.1,0
WB-AUD-0046,West Bengal,Howrah,INDUSTRIAL_PARK,Agricultural,35.27,139,2023-02-06,116,192,2023-08-17,Disputed,78,2,75,Completed,96,3.2,1
WB-AUD-0047,West Bengal,Kolkata,POWER,Agricultural,5.85,40,2022-03-27,184,104,2022-07-09,Not Started,83,2,80,In Progress,79,7.3,0
WB-AUD-0048,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,32.47,116,2025-05-04,297,345,2026-04-14,Not Started,55,1,66,In Progress,51,4.8,1
WB-AUD-0049,West Bengal,North 24 Parganas,INDUSTRIAL_PARK,Urban,1.99,33,2025-12-31,297,501,2027-05-16,In Progress,14,4,53,In Progress,68,7.0,1
WB-AUD-0050,West Bengal,Kolkata,POWER,Agricultural,2.64,32,2024-01-03,246,440,2025-03-18,Not Started,184,4,66,In Progress,39,5.5,1
WB-AUD-0051,West Bengal,Hooghly,HIGHWAY,Urban,7.66,30,2022-10-04,154,107,2023-01-19,Not Started,82,2,41,In Progress,81,5.4,0
WB-AUD-0052,West Bengal,South 24 Parganas,HIGHWAY,Urban,10.18,50,2023-02-21,227,223,2023-10-02,In Progress,34,0,41,In Progress,71,6.2,0
WB-AUD-0053,West Bengal,Hooghly,OTHER,Wetland,1.92,32,2023-06-02,136,290,2024-03-18,Not Started,164,4,31,Not Started,32,4.2,1
WB-AUD-0054,West Bengal,South 24 Parganas,INDUSTRIAL,Agricultural,45.9,178,2023-01-31,279,533,2024-07-17,Not Started,81,2,51,Completed,87,6.2,1
WB-AUD-0055,West Bengal,Hooghly,HIGHWAY,Agricultural,35.44,99,2026-05-18,105,195,2026-11-29,Not Started,85,3,62,In Progress,66,4.7,1
WB-AUD-0056,West Bengal,Hooghly,URBAN_DEVELOPMENT,Agricultural,1.97,33,2023-10-09,115,59,2023-12-07,In Progress,41,2,75,In Progress,72,6.0,0
WB-AUD-0057,West Bengal,Hooghly,INDUSTRIAL,Mixed,12.42,64,2022-03-27,286,217,2022-10-30,In Progress,44,3,64,In Progress,56,5.4,0
WB-AUD-0058,West Bengal,Hooghly,HIGHWAY,Urban,21.39,64,2025-08-31,223,492,2027-01-05,In Progress,41,3,75,In Progress,65,4.4,1
WB-AUD-0059,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Agricultural,11.37,51,2026-08-14,185,144,2027-01-05,In Progress,49,2,64,In Progress,78,7.9,0
WB-AUD-0060,West Bengal,South 24 Parganas,POWER,Mixed,6.9,33,2024-02-29,182,157,2024-08-04,Completed,8,0,72,Completed,93,7.4,0
WB-AUD-0061,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Agricultural,1.1,12,2022-08-08,273,217,2023-03-13,Completed,4,3,66,In Progress,53,6.3,0
WB-AUD-0062,West Bengal,North 24 Parganas,INFRASTRUCTURE,Mixed,28.96,92,2024-07-14,94,246,2025-03-17,Not Started,122,5,63,In Progress,36,6.2,1
WB-AUD-0063,West Bengal,Hooghly,OTHER,Agricultural,12.22,47,2025-07-20,112,299,2026-05-15,Not Started,82,2,49,Completed,96,5.7,1
WB-AUD-0064,West Bengal,Hooghly,URBAN_DEVELOPMENT,Urban,2.15,20,2024-10-25,114,330,2025-09-20,Not Started,136,2,68,Completed,100,7.9,1
WB-AUD-0065,West Bengal,Kolkata,INDUSTRIAL,Urban,8.39,49,2025-11-16,211,419,2027-01-09,Not Started,130,6,67,In Progress,79,6.9,1
WB-AUD-0066,West Bengal,South 24 Parganas,RAILWAY,Agricultural,2.09,18,2023-11-02,157,248,2024-07-07,Not Started,109,3,95,In Progress,76,5.3,1
WB-AUD-0067,West Bengal,Kolkata,RAILWAY,Mixed,5.63,21,2022-09-07,103,322,2023-07-26,Not Started,105,2,57,In Progress,63,5.2,1
WB-AUD-0068,West Bengal,Howrah,HIGHWAY,Mixed,0.74,32,2026-06-24,115,72,2026-09-04,In Progress,41,1,79,Completed,95,7.7,0
WB-AUD-0069,West Bengal,Howrah,HIGHWAY,Mixed,7.4,31,2025-01-20,289,552,2026-07-26,Not Started,84,4,47,In Progress,48,4.1,1
WB-AUD-0070,West Bengal,Howrah,POWER,Agricultural,8.77,31,2022-10-04,156,103,2023-01-15,Completed,0,1,85,In Progress,71,5.8,0
WB-AUD-0071,West Bengal,North 24 Parganas,POWER,Mixed,23.54,97,2023-01-01,190,443,2024-03-19,Not Started,78,2,52,In Progress,54,3.1,1
WB-AUD-0072,West Bengal,North 24 Parganas,HIGHWAY,Urban,101.89,310,2023-12-13,133,408,2025-01-24,Completed,7,1,69,Delayed,11,3.4,1
WB-AUD-0073,West Bengal,Howrah,INDUSTRIAL,Agricultural,18.17,38,2023-07-05,188,467,2024-10-14,Not Started,84,3,80,In Progress,69,5.3,1
WB-AUD-0074,West Bengal,North 24 Parganas,RAILWAY,Agricultural,2.34,37,2024-01-18,181,121,2024-05-18,Not Started,60,4,73,In Progress,45,7.5,0
WB-AUD-0075,West Bengal,North 24 Parganas,HIGHWAY,Urban,4.24,40,2022-12-31,254,434,2024-03-09,Not Started,127,4,71,In Progress,70,7.6,1
WB-AUD-0076,West Bengal,Kolkata,RAILWAY,Agricultural,11.23,57,2022-12-12,188,179,2023-06-09,Not Started,73,3,72,In Progress,54,6.6,0
WB-AUD-0077,West Bengal,South 24 Parganas,OTHER,Wetland,3.45,35,2026-02-01,212,339,2027-01-06,Not Started,136,6,31,Not Started,26,3.5,1
WB-AUD-0078,West Bengal,Hooghly,RAILWAY,Agricultural,1.34,23,2024-12-01,231,193,2025-06-12,In Progress,44,1,71,In Progress,38,7.6,0
WB-AUD-0079,West Bengal,North 24 Parganas,HIGHWAY,Urban,20.25,71,2026-07-15,141,367,2027-07-17,In Progress,53,3,82,In Progress,47,5.9,1
WB-AUD-0080,West Bengal,Kolkata,INDUSTRIAL_PARK,Mixed,6.52,27,2023-04-26,102,55,2023-06-20,In Progress,34,1,100,In Progress,70,4.9,0
WB-AUD-0081,West Bengal,Kolkata,OTHER,Mixed,4.77,49,2025-09-14,153,293,2026-07-04,Disputed,149,5,74,Not Started,14,1.3,1
WB-AUD-0082,West Bengal,Hooghly,INFRASTRUCTURE,Urban,12.57,48,2025-02-03,287,276,2025-11-06,In Progress,40,1,49,In Progress,54,5.5,0
WB-AUD-0083,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,13.33,65,2026-01-09,221,164,2026-06-22,In Progress,49,0,93,Completed,100,10.0,0
WB-AUD-0084,West Bengal,Howrah,INFRASTRUCTURE,Urban,37.02,144,2022-10-03,181,319,2023-08-18,In Progress,42,3,86,In Progress,69,3.6,1
WB-AUD-0085,West Bengal,South 24 Parganas,OTHER,Mixed,26.82,100,2024-10-05,140,138,2025-02-20,Not Started,65,0,69,In Progress,71,10.0,0
WB-AUD-0086,West Bengal,Hooghly,INDUSTRIAL_PARK,Agricultural,39.94,130,2025-08-02,223,200,2026-02-18,Not Started,85,4,100,In Progress,38,6.6,0
WB-AUD-0087,West Bengal,Howrah,RAILWAY,Urban,7.28,20,2026-06-14,259,188,2026-12-19,In Progress,43,3,99,Completed,91,6.5,0
WB-AUD-0088,West Bengal,Kolkata,URBAN_DEVELOPMENT,Mixed,7.2,26,2022-09-11,104,164,2023-02-22,Not Started,119,5,54,In Progress,66,6.8,1
WB-AUD-0089,West Bengal,Howrah,HIGHWAY,Urban,7.99,48,2023-09-20,280,412,2024-11-05,Disputed,190,8,75,Not Started,0,5.3,1
WB-AUD-0090,West Bengal,South 24 Parganas,INFRASTRUCTURE,Agricultural,74.45,217,2022-04-27,268,427,2023-06-28,Not Started,126,3,57,Not Started,18,5.0,1
WB-AUD-0091,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Urban,3.78,10,2025-03-04,231,225,2025-10-15,Not Started,56,3,84,In Progress,50,3.7,0
WB-AUD-0092,West Bengal,North 24 Parganas,HIGHWAY,Mixed,7.61,32,2024-09-10,169,156,2025-02-13,Completed,0,1,48,In Progress,81,7.7,0
WB-AUD-0093,West Bengal,South 24 Parganas,INDUSTRIAL,Urban,6.44,30,2022-11-18,126,392,2023-12-15,Not Started,118,5,64,Not Started,26,5.0,1
WB-AUD-0094,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Urban,35.23,104,2022-12-26,281,234,2023-08-17,In Progress,40,1,65,In Progress,53,5.8,0
WB-AUD-0095,West Bengal,North 24 Parganas,POWER,Mixed,3.08,19,2025-08-23,123,106,2025-12-07,In Progress,31,3,75,In Progress,46,7.1,0
WB-AUD-0096,West Bengal,Kolkata,INDUSTRIAL,Wetland,0.97,15,2022-11-15,201,274,2023-08-16,Not Started,119,3,48,In Progress,76,2.5,1
WB-AUD-0097,West Bengal,Howrah,POWER,Urban,13.69,67,2022-11-17,161,298,2023-09-11,Not Started,98,5,43,In Progress,54,6.6,1
WB-AUD-0098,West Bengal,Howrah,HIGHWAY,Wetland,8.63,46,2022-12-19,161,372,2023-12-26,In Progress,53,2,87,In Progress,53,2.8,1
WB-AUD-0099,West Bengal,Kolkata,HIGHWAY,Agricultural,9.83,54,2022-03-28,165,378,2023-04-10,Not Started,175,4,69,In Progress,55,4.0,1
WB-AUD-0100,West Bengal,Howrah,INFRASTRUCTURE,Agricultural,9.7,51,2022-04-14,225,304,2023-02-12,Not Started,117,4,88,In Progress,46,3.0,1
WB-AUD-0101,West Bengal,North 24 Parganas,RAILWAY,Urban,3.45,12,2024-12-08,176,388,2025-12-31,Not Started,95,3,71,In Progress,53,2.7,1
WB-AUD-0102,West Bengal,North 24 Parganas,POWER,Mixed,15.99,82,2026-02-07,251,506,2027-06-28,Not Started,120,3,64,Completed,92,4.1,1
WB-AUD-0103,West Bengal,Howrah,RAILWAY,Agricultural,3.02,34,2024-01-30,100,82,2024-04-21,In Progress,34,1,52,In Progress,82,10.0,0
WB-AUD-0104,West Bengal,South 24 Parganas,INFRASTRUCTURE,Wetland,1.57,22,2026-08-25,245,282,2027-06-03,Disputed,160,6,84,In Progress,54,4.6,1
WB-AUD-0105,West Bengal,Howrah,INDUSTRIAL,Urban,5.07,16,2023-07-09,173,443,2024-09-24,Not Started,104,3,65,Not Started,15,5.2,1
WB-AUD-0106,West Bengal,North 24 Parganas,INFRASTRUCTURE,Wetland,21.6,84,2025-05-11,271,432,2026-07-17,Not Started,114,3,84,In Progress,68,6.7,1
WB-AUD-0107,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,14.37,55,2023-11-26,233,171,2024-05-15,Completed,0,1,57,In Progress,44,7.4,0
WB-AUD-0108,West Bengal,Howrah,INFRASTRUCTURE,Urban,15.81,62,2026-02-25,148,123,2026-06-28,In Progress,24,0,82,Completed,100,5.0,0
WB-AUD-0109,West Bengal,South 24 Parganas,HIGHWAY,Mixed,37.5,149,2022-09-13,279,384,2023-10-02,Not Started,128,4,63,In Progress,79,8.1,1
WB-AUD-0110,West Bengal,Howrah,RAILWAY,Mixed,10.04,38,2024-06-06,261,243,2025-02-04,Completed,0,0,80,Delayed,31,4.8,0
WB-AUD-0111,West Bengal,South 24 Parganas,HIGHWAY,Urban,2.14,34,2026-04-30,202,185,2026-11-01,In Progress,21,1,81,Completed,88,6.1,0
WB-AUD-0112,West Bengal,South 24 Parganas,RAILWAY,Agricultural,29.05,90,2024-12-20,210,172,2025-06-10,Completed,0,1,66,Completed,98,7.7,0
WB-AUD-0113,West Bengal,North 24 Parganas,OTHER,Agricultural,20.01,73,2024-02-28,215,207,2024-09-22,Not Started,57,2,92,In Progress,39,3.4,0
WB-AUD-0114,West Bengal,Howrah,OTHER,Urban,0.93,40,2023-06-12,105,37,2023-07-19,Not Started,75,2,100,Completed,89,4.3,0
WB-AUD-0115,West Bengal,Howrah,RAILWAY,Agricultural,3.54,11,2025-03-14,117,76,2025-05-29,In Progress,28,1,75,In Progress,66,7.3,0
WB-AUD-0116,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,0.84,11,2025-07-24,260,186,2026-01-26,In Progress,29,2,72,In Progress,46,5.9,0
WB-AUD-0117,West Bengal,Howrah,OTHER,Urban,22.42,97,2025-08-31,195,155,2026-02-02,Not Started,63,1,63,Not Started,34,4.7,0
WB-AUD-0118,West Bengal,South 24 Parganas,POWER,Mixed,1.73,24,2025-05-19,289,265,2026-02-08,In Progress,50,1,74,In Progress,72,6.9,0
WB-AUD-0119,West Bengal,North 24 Parganas,INFRASTRUCTURE,Agricultural,1.36,33,2023-10-25,159,118,2024-02-20,In Progress,48,1,92,Completed,92,5.1,0
WB-AUD-0120,West Bengal,North 24 Parganas,INDUSTRIAL_PARK,Urban,21.35,75,2024-02-22,188,176,2024-08-16,In Progress,35,2,49,In Progress,80,5.7,0
WB-AUD-0121,West Bengal,Kolkata,URBAN_DEVELOPMENT,Agricultural,7.86,37,2025-04-28,234,168,2025-10-13,In Progress,37,1,99,Completed,98,5.3,0
WB-AUD-0122,West Bengal,Hooghly,URBAN_DEVELOPMENT,Urban,1.47,36,2025-11-02,96,38,2025-12-10,Completed,0,1,62,In Progress,48,5.9,0
WB-AUD-0123,West Bengal,Kolkata,URBAN_DEVELOPMENT,Agricultural,23.95,110,2024-06-23,286,353,2025-06-11,Not Started,94,6,79,In Progress,44,2.7,1
WB-AUD-0124,West Bengal,Howrah,RAILWAY,Agricultural,4.1,22,2023-08-15,110,63,2023-10-17,In Progress,41,1,75,In Progress,84,7.5,0
WB-AUD-0125,West Bengal,Hooghly,URBAN_DEVELOPMENT,Agricultural,17.96,51,2023-12-12,188,353,2024-11-29,Not Started,59,1,71,In Progress,67,4.9,1
WB-AUD-0126,West Bengal,Howrah,OTHER,Agricultural,4.93,22,2023-01-21,262,246,2023-09-24,In Progress,30,2,92,In Progress,60,6.2,0
WB-AUD-0127,West Bengal,Hooghly,RAILWAY,Agricultural,6.87,34,2026-05-12,145,206,2026-12-04,Not Started,57,3,81,In Progress,78,4.2,1
WB-AUD-0128,West Bengal,South 24 Parganas,OTHER,Urban,187.64,576,2025-03-06,185,406,2026-04-16,Disputed,67,2,67,In Progress,57,6.4,1
WB-AUD-0129,West Bengal,Howrah,RAILWAY,Wetland,1.0,39,2023-06-29,288,385,2024-07-18,Not Started,56,1,80,Not Started,32,4.1,1
WB-AUD-0130,West Bengal,North 24 Parganas,HIGHWAY,Agricultural,6.03,27,2023-03-28,293,453,2024-06-23,Not Started,88,2,67,Completed,89,4.7,1
WB-AUD-0131,West Bengal,South 24 Parganas,RAILWAY,Agricultural,6.6,34,2025-07-06,214,194,2026-01-16,In Progress,47,0,54,Completed,100,6.5,0
WB-AUD-0132,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Mixed,45.62,151,2024-04-21,277,225,2024-12-02,In Progress,11,1,70,In Progress,44,8.1,0
WB-AUD-0133,West Bengal,North 24 Parganas,RAILWAY,Agricultural,3.14,36,2024-01-12,109,152,2024-06-12,Not Started,88,4,77,In Progress,71,5.0,1
WB-AUD-0134,West Bengal,Howrah,INFRASTRUCTURE,Wetland,11.93,33,2025-06-21,106,226,2026-02-02,Not Started,149,3,74,In Progress,72,1.6,1
WB-AUD-0135,West Bengal,South 24 Parganas,INDUSTRIAL_PARK,Agricultural,101.4,317,2022-10-17,237,193,2023-04-28,In Progress,29,2,91,In Progress,75,10.0,0
WB-AUD-0136,West Bengal,Kolkata,POWER,Urban,4.48,15,2026-02-16,193,158,2026-07-24,Not Started,69,3,72,In Progress,73,7.6,0
WB-AUD-0137,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,11.97,55,2023-03-03,272,223,2023-10-12,In Progress,24,2,80,In Progress,44,7.3,0
WB-AUD-0138,West Bengal,Kolkata,RAILWAY,Agricultural,178.14,502,2023-08-07,249,235,2024-03-29,In Progress,14,0,39,In Progress,74,7.7,0
WB-AUD-0139,West Bengal,Kolkata,INFRASTRUCTURE,Agricultural,15.1,67,2024-08-02,247,388,2025-08-25,Not Started,133,5,91,In Progress,46,7.1,1
WB-AUD-0140,West Bengal,Kolkata,URBAN_DEVELOPMENT,Agricultural,46.15,164,2022-06-30,104,324,2023-05-20,Not Started,89,5,60,In Progress,66,5.7,1
WB-AUD-0141,West Bengal,Howrah,OTHER,Urban,1.1,35,2024-08-29,102,216,2025-04-02,Disputed,83,4,69,In Progress,55,3.5,1
WB-AUD-0142,West Bengal,Hooghly,INDUSTRIAL_PARK,Urban,45.24,126,2026-03-10,264,334,2027-02-07,In Progress,43,2,93,In Progress,54,1.3,1
WB-AUD-0143,West Bengal,Kolkata,RAILWAY,Urban,83.34,312,2023-02-04,289,531,2024-07-19,Not Started,96,4,88,In Progress,76,1.8,1
WB-AUD-0144,West Bengal,Hooghly,INFRASTRUCTURE,Agricultural,17.3,62,2022-12-03,97,34,2023-01-06,In Progress,44,3,64,In Progress,52,6.1,0
WB-AUD-0145,West Bengal,South 24 Parganas,HIGHWAY,Urban,0.82,33,2024-07-21,299,500,2025-12-03,Not Started,108,4,64,In Progress,56,5.4,1
WB-AUD-0146,West Bengal,Howrah,INDUSTRIAL_PARK,Urban,59.68,188,2022-09-01,169,399,2023-10-05,Not Started,101,3,70,In Progress,75,5.1,1
WB-AUD-0147,West Bengal,South 24 Parganas,INFRASTRUCTURE,Agricultural,0.59,37,2022-02-12,140,77,2022-04-30,In Progress,47,0,88,Completed,100,8.4,0
WB-AUD-0148,West Bengal,South 24 Parganas,HIGHWAY,Urban,52.6,174,2023-09-22,205,422,2024-11-17,Not Started,64,2,44,Completed,100,6.5,1
WB-AUD-0149,West Bengal,Kolkata,HIGHWAY,Mixed,3.96,36,2025-07-29,224,183,2026-01-28,Completed,4,1,69,In Progress,77,4.3,0
WB-AUD-0150,West Bengal,Hooghly,HIGHWAY,Agricultural,18.28,87,2022-06-23,120,119,2022-10-20,In Progress,45,2,100,Not Started,27,5.3,0
WB-AUD-0151,West Bengal,South 24 Parganas,URBAN_DEVELOPMENT,Agricultural,41.0,167,2026-06-20,164,344,2027-05-30,Disputed,136,3,90,Completed,100,6.0,1
WB-AUD-0152,West Bengal,Howrah,INFRASTRUCTURE,Mixed,2.44,13,2023-10-05,131,230,2024-05-22,Not Started,117,3,87,In Progress,82,5.3,1
WB-AUD-0153,West Bengal,Hooghly,HIGHWAY,Agricultural,1.16,25,2022-06-30,250,474,2023-10-17,In Progress,43,2,94,In Progress,64,3.9,1
WB-AUD-0154,West Bengal,South 24 Parganas,HIGHWAY,Agricultural,3.69,16,2023-06-10,212,360,2024-06-04,Not Started,135,3,71,In Progress,42,3.9,1
WB-AUD-0155,West Bengal,Howrah,URBAN_DEVELOPMENT,Agricultural,7.04,26,2026-08-05,194,121,2026-12-04,Not Started,60,1,83,Completed,90,5.5,0
WB-AUD-0156,West Bengal,Hooghly,INDUSTRIAL_PARK,Mixed,6.17,41,2024-08-07,225,177,2025-01-31,Not Started,74,1,100,In Progress,78,6.1,0
WB-AUD-0157,West Bengal,Kolkata,INFRASTRUCTURE,Agricultural,12.39,46,2022-10-13,143,99,2023-01-20,In Progress,41,1,65,In Progress,52,5.4,0
WB-AUD-0158,West Bengal,North 24 Parganas,URBAN_DEVELOPMENT,Mixed,5.61,39,2022-06-08,211,471,2023-09-22,Not Started,64,3,43,Delayed,16,3.9,1
WB-AUD-0159,West Bengal,Howrah,POWER,Urban,6.87,40,2024-06-11,182,144,2024-11-02,Not Started,69,0,58,In Progress,72,4.2,0
WB-AUD-0160,West Bengal,Hooghly,OTHER,Urban,6.49,45,2023-01-08,249,373,2024-01-16,Disputed,95,2,53,In Progress,68,5.8,1
WB-AUD-0161,West Bengal,North 24 Parganas,INDUSTRIAL_PARK,Agricultural,4.82,38,2025-11-21,239,362,2026-11-18,Not Started,116,4,53,In Progress,78,3.1,1
